Number of Agents,Type,Time(minutes),,
1000,barabasiGreedy,0.209783333,,
1000,barabasiGreedy,0.183016667,,
1000,barabasiGreedy,0.1916,,
1000,barabasiGreedy,0.19255,,
1000,barabasiGreedy,0.180483333,,
5000,barabasiGreedy,1.4041,,
5000,barabasiGreedy,1.361933333,,
5000,barabasiGreedy,1.299933333,,
5000,barabasiGreedy,1.354383333,,
5000,barabasiGreedy,1.37315,,
10000,barabasiGreedy,5.042616667,,
10000,barabasiGreedy,4.789666667,,
10000,barabasiGreedy,5.010233333,,
40000,barabasiGreedy,90.1377,,
40000,barabasiGreedy,87.70336667,,
60000,barabasiGreedy,206.6719833,,
60000,barabasiGreedy,206.5529,,
1000,barabasiLabel,0.169083333,,
1000,barabasiLabel,0.145833333,,
1000,barabasiLabel,0.1464,,
1000,barabasiLabel,0.142666667,,
1000,barabasiLabel,0.145116667,,
5000,barabasiLabel,0.30815,,
5000,barabasiLabel,0.27805,,
5000,barabasiLabel,0.278366667,,
5000,barabasiLabel,0.27915,,
5000,barabasiLabel,0.288833333,,
10000,barabasiLabel,0.4664,,
10000,barabasiLabel,0.453666667,,
10000,barabasiLabel,0.45545,,
40000,barabasiLabel,1.64965,,
40000,barabasiLabel,1.657616667,,
40000,barabasiLabel,1.559783333,,
60000,barabasiLabel,2.47365,,
60000,barabasiLabel,2.490766667,,
60000,barabasiLabel,2.577683333,,
1000,scaleFreeGreedy,0.178733333,,
1000,scaleFreeGreedy,0.157833333,,
1000,scaleFreeGreedy,0.16285,,
1000,scaleFreeGreedy,0.165083333,,
1000,scaleFreeGreedy,0.160866667,,
5000,scaleFreeGreedy,0.5715,,
5000,scaleFreeGreedy,0.526116667,,
5000,scaleFreeGreedy,0.5572,,
5000,scaleFreeGreedy,0.549716667,,
5000,scaleFreeGreedy,0.56325,,
10000,scaleFreeGreedy,1.490266667,,
10000,scaleFreeGreedy,1.388133333,,
10000,scaleFreeGreedy,1.42395,,
